TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,weight_0,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1
0,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.8,0.45,68,600,9,0.08,1.0,Logloss,Depthwise,Bernoulli,50,0.7522935779816514,0.6833333333333333,0.8367346938775511,0.12307692307692308,0.8367346938775511
1,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.42,16,600,9,0.09,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
2,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,2.0,0.52,16,1000,8,0.1,2.0,Logloss,Depthwise,Bayesian,30,0.7586206896551724,0.7034883720930233,0.8231292517006803,0.2153846153846154,0.8231292517006803
3,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.57,68,800,10,0.1,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.6866666666666666,0.673202614379085,0.7006802721088435,0.23076923076923078,0.7006802721088435
4,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,88,500,9,0.01,3.0,CrossEntropy,Depthwise,Bayesian,10,0.7896253602305475,0.685,0.9319727891156463,0.03076923076923077,0.9319727891156463
5,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.9,0.42,20,1000,10,0.03,1.0,Logloss,SymmetricTree,Bernoulli,50,0.7976878612716763,0.6934673366834171,0.9387755102040817,0.06153846153846154,0.9387755102040817
