TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1,weight_0
0,,,,1.0,0.1,0.44,16,900,6,0.08,3.0,CrossEntropy,SymmetricTree,Bayesian,30,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
1,,,,1.0,0.1,0.44,32,1000,7,0.1,2.0,Logloss,SymmetricTree,Bernoulli,50,0.7601246105919003,0.7011494252873564,0.8299319727891157,0.2,0.8299319727891157,2.0
