TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1,weight_0
42,,,,1.0,0.1,0.516,360,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
43,,,,1.0,0.1,0.501,142,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
44,,,,1.0,0.1,0.57,365,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
45,,,,1.0,0.1,0.564,25,800,4,0.01,2.1,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
46,,,,1.0,0.1,0.553,1,800,3,0.01,2.2,Logloss,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,3.0
47,,,,1.0,0.1,0.504,81,800,10,0.01,1.7,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
48,,,,1.0,0.1,0.555,479,800,4,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
49,,,,1.0,0.1,0.538,389,800,9,0.01,1.6,Logloss,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,2.3
50,,,,1.0,0.1,0.546,301,800,4,0.01,2.5,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
51,,,,1.0,0.1,0.501,20,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
52,,,,1.0,0.1,0.501,429,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
53,,,,1.0,0.1,0.557,308,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
54,,,,1.0,0.1,0.54,29,800,2,0.01,2.4,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
55,,,,1.0,0.1,0.519,123,800,4,0.01,1.4,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
56,,,,1.0,0.1,0.532,100,800,6,0.01,1.3,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
57,,,,1.0,0.1,0.512,78,800,8,0.01,1.1,CrossEntropy,SymmetricTree,Bayesian,50,0.1375,0.8461538461538461,0.07482993197278912,0.9692307692307692,0.07482993197278912,
58,,,,1.0,0.1,0.56,337,800,5,0.01,1.8,Logloss,SymmetricTree,Bayesian,50,0.3240223463687151,0.90625,0.19727891156462585,0.9538461538461539,0.19727891156462585,1.9
59,,,,1.0,0.1,0.545,6,800,7,0.01,1.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
60,,,,1.0,0.1,0.567,329,800,10,0.01,2.3,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
61,,,,1.0,0.1,0.501,80,800,4,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
62,,,,1.0,0.1,0.501,405,800,4,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
63,,,,1.0,0.1,0.566,455,800,4,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
64,,,,1.0,0.1,0.539,453,800,4,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
65,,,,1.0,0.1,0.526,403,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
66,,,,1.0,0.1,0.548,339,800,4,0.01,1.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
67,,,,1.0,0.1,0.53,477,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
68,,,,1.0,0.1,0.55,495,800,2,0.01,1.5,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
69,,,,1.0,0.1,0.562,61,800,3,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
70,,,,1.0,0.1,0.556,168,800,9,0.01,2.6,Logloss,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,3.1
71,,,,1.0,0.1,0.501,321,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
72,,,,1.0,0.1,0.506,473,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
73,,,,1.0,0.1,0.561,35,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
74,,,,1.0,0.1,0.543,472,800,4,0.01,2.1,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
75,,,,1.0,0.1,0.514,142,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
76,,,,1.0,0.1,0.542,75,800,6,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
77,,,,1.0,0.1,0.525,377,800,8,0.01,2.2,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
78,,,,1.0,0.1,0.547,212,800,7,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
79,,,,1.0,0.1,0.502,252,800,4,0.01,1.7,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
80,,,,1.0,0.1,0.537,45,800,5,0.01,1.2,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
81,,,,1.0,0.1,0.501,417,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
82,,,,1.0,0.1,0.501,323,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
83,,,,1.0,0.1,0.517,333,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
84,,,,1.0,0.1,0.515,464,800,4,0.01,2.5,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
85,,,,1.0,0.1,0.501,176,800,4,0.01,1.6,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
86,,,,1.0,0.1,0.563,110,800,10,0.01,2.0,Logloss,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,3.9
87,,,,1.0,0.1,0.52,486,800,4,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
88,,,,1.0,0.1,0.544,89,800,4,0.01,1.1,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
89,,,,1.0,0.1,0.522,128,800,3,0.01,2.4,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
90,,,,1.0,0.1,0.501,171,800,4,0.01,1.3,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
91,,,,1.0,0.1,0.558,104,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
92,,,,1.0,0.1,0.536,196,800,4,0.01,1.4,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
93,,,,1.0,0.1,0.501,83,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
94,,,,1.0,0.1,0.552,124,800,4,0.01,1.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
95,,,,1.0,0.1,0.501,-1,800,2,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
96,,,,1.0,0.1,0.508,32,800,9,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
97,,,,1.0,0.1,0.523,133,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
98,,,,1.0,0.1,0.559,151,800,4,0.01,1.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
99,,,,1.0,0.1,0.501,20,800,8,0.01,2.3,Logloss,SymmetricTree,Bayesian,50,0.3548387096774194,0.8461538461538461,0.22448979591836735,0.9076923076923077,0.22448979591836735,1.8
100,,,,1.0,0.1,0.529,207,800,6,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
101,,,,1.0,0.1,0.554,99,800,4,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
102,,,,1.0,0.1,0.501,429,800,4,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
103,,,,1.0,0.1,0.507,479,800,4,0.01,1.0,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
104,,,,1.0,0.1,0.505,444,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
105,,,,1.0,0.1,0.521,487,800,7,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
106,,,,1.0,0.1,0.501,80,800,4,0.01,1.5,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
107,,,,1.0,0.1,0.518,395,800,5,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
108,,,,1.0,0.1,0.568,42,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
109,,,,1.0,0.1,0.528,123,800,4,0.01,2.6,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
110,,,,1.0,0.1,0.569,51,800,10,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
111,,,,1.0,0.1,0.501,393,800,4,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
112,,,,1.0,0.1,0.501,359,800,4,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
113,,,,1.0,0.1,0.551,218,800,4,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
114,,,,1.0,0.1,0.501,425,800,4,0.01,2.1,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
115,,,,1.0,0.1,0.503,258,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
116,,,,1.0,0.1,0.565,21,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
117,,,,1.0,0.1,0.533,405,800,3,0.01,2.2,Logloss,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,1.5
118,,,,1.0,0.1,0.501,503,800,4,0.01,1.2,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
119,,,,1.0,0.1,0.564,23,800,2,0.01,1.7,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
120,,,,1.0,0.1,0.535,256,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
121,,,,1.0,0.1,0.501,190,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
122,,,,1.0,0.1,0.513,16,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
123,,,,1.0,0.1,0.511,321,800,4,0.01,2.5,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
124,,,,1.0,0.1,0.501,119,800,4,0.01,1.6,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
125,,,,1.0,0.1,0.534,10,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
126,,,,1.0,0.1,0.549,46,800,9,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
127,,,,1.0,0.1,0.541,139,800,4,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
128,,,,1.0,0.1,0.527,276,800,6,0.01,2.4,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
129,,,,1.0,0.1,0.51,442,800,4,0.01,1.1,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
130,,,,1.0,0.1,0.509,74,800,8,0.01,1.3,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
131,,,,1.0,0.1,0.501,423,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
132,,,,1.0,0.1,0.501,27,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
133,,,,1.0,0.1,0.531,126,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
134,,,,1.0,0.1,0.516,335,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
135,,,,1.0,0.1,0.524,305,800,7,0.01,1.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
136,,,,1.0,0.1,0.57,417,800,4,0.01,1.4,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
137,,,,1.0,0.1,0.501,234,800,5,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.7133757961783439,0.6706586826347305,0.7619047619047619,0.15384615384615385,0.7619047619047619,
138,,,,1.0,0.1,0.538,476,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
139,,,,1.0,0.1,0.504,48,800,4,0.01,2.3,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
140,,,,1.0,0.1,0.555,106,800,4,0.01,3.0,Logloss,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,3.2
141,,,,1.0,0.1,0.501,323,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
142,,,,1.0,0.1,0.553,460,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
143,,,,1.0,0.1,0.501,159,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
144,,,,1.0,0.1,0.546,243,800,10,0.01,1.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
145,,,,1.0,0.1,0.501,142,800,4,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
