TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1,weight_0
0,,,,1.0,0.1,0.563,424,800,7,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
1,,,,1.0,0.1,0.522,322,800,9,0.01,1.0,Logloss,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,3.6
2,,,,1.0,0.1,0.558,63,800,7,0.01,2.1,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
3,,,,1.0,0.1,0.536,364,800,6,0.01,1.5,Logloss,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,2.9
4,,,,1.0,0.1,0.554,76,800,8,0.01,2.6,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
5,,,,1.0,0.1,0.554,382,800,3,0.01,2.1,Logloss,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,3.4
6,,,,1.0,0.1,0.505,201,800,5,0.01,2.3,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
7,,,,1.0,0.1,0.552,147,800,3,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
8,,,,1.0,0.1,0.501,479,800,4,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
9,,,,1.0,0.1,0.505,496,800,2,0.01,2.3,Logloss,SymmetricTree,Bayesian,50,0.37433155080213903,0.875,0.23809523809523808,0.9230769230769231,0.23809523809523808,2.0
10,,,,1.0,0.1,0.508,448,800,4,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
11,,,,1.0,0.1,0.501,348,800,2,0.01,2.7,Logloss,SymmetricTree,Bayesian,50,0.3240223463687151,0.90625,0.19727891156462585,0.9538461538461539,0.19727891156462585,2.6
12,,,,1.0,0.1,0.507,206,800,2,0.01,2.2,Logloss,SymmetricTree,Bayesian,50,0.3655913978494624,0.8717948717948718,0.23129251700680273,0.9230769230769231,0.23129251700680273,2.0
13,,,,1.0,0.1,0.559,3,800,4,0.01,2.3,Logloss,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,1.6
14,,,,1.0,0.1,0.529,44,800,10,0.01,2.5,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
15,,,,1.0,0.1,0.528,494,800,2,0.01,1.7,Logloss,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,2.4
16,,,,1.0,0.1,0.501,123,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
17,,,,1.0,0.1,0.521,402,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
18,,,,1.0,0.1,0.501,176,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
19,,,,1.0,0.1,0.518,226,800,4,0.01,1.6,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
20,,,,1.0,0.1,0.568,394,800,10,0.01,2.4,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
21,,,,1.0,0.1,0.501,359,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
22,,,,1.0,0.1,0.501,321,800,4,0.01,3.0,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
23,,,,1.0,0.1,0.541,300,800,4,0.01,1.3,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
24,,,,1.0,0.1,0.551,103,800,9,0.01,1.1,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
25,,,,1.0,0.1,0.501,134,800,6,0.01,1.2,CrossEntropy,SymmetricTree,Bayesian,50,0.7081967213114754,0.6835443037974683,0.7346938775510204,0.23076923076923078,0.7346938775510204,
26,,,,1.0,0.1,0.569,70,800,8,0.01,1.8,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
27,,,,1.0,0.1,0.513,500,800,5,0.01,1.4,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
28,,,,1.0,0.1,0.565,481,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
29,,,,1.0,0.1,0.533,176,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
30,,,,1.0,0.1,0.535,121,800,7,0.01,1.9,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
31,,,,1.0,0.1,0.503,359,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,
32,,,,1.0,0.1,0.501,323,800,4,0.01,2.8,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
33,,,,1.0,0.1,0.534,213,800,4,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
34,,,,1.0,0.1,0.511,95,800,9,0.01,1.0,CrossEntropy,SymmetricTree,Bayesian,50,0.1375,0.8461538461538461,0.07482993197278912,0.9692307692307692,0.07482993197278912,
35,,,,1.0,0.1,0.549,430,800,7,0.01,2.7,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
36,,,,1.0,0.1,0.51,230,800,6,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.1375,0.8461538461538461,0.07482993197278912,0.9692307692307692,0.07482993197278912,
37,,,,1.0,0.1,0.524,90,800,8,0.01,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
38,,,,1.0,0.1,0.531,209,800,3,0.01,1.5,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
39,,,,1.0,0.1,0.527,471,800,4,0.01,2.6,CrossEntropy,SymmetricTree,Bayesian,50,0.0,0.0,0.0,1.0,0.0,
40,,,,1.0,0.1,0.509,8,800,5,0.01,1.2,Logloss,SymmetricTree,Bayesian,50,0.3146067415730337,0.9032258064516129,0.19047619047619047,0.9538461538461539,0.19047619047619047,1.3
41,,,,1.0,0.1,0.501,477,800,4,0.01,2.9,CrossEntropy,SymmetricTree,Bayesian,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0,
