trial,f1_score,accuracy_0,accuracy_1,precision,recall,threshold,PCA_dim,train_path,test_path,submission_path,result_dir,kobert_train,kobert_test,kobert_y,PCA_dim_range,weight_0_range,weight_1,percentile,iterations_range,depth_range,learning_rate_range,loss_function_list,threshold_range,l2_leaf_reg_range,grow_policy_list,bootstrap_type_list,early_stopping_rounds_range,n_trials,random_seed,verbose
0,0.3050847457627119,0.9538461538461539,0.1836734693877551,0.9,0.1836734693877551,0.56,20,C:\Users\ilumi\BDA_Project\MOOC_prediction\Model\..\..\data\train.csv,C:\Users\ilumi\BDA_Project\MOOC_prediction\Model\..\..\data\test.csv,C:\Users\ilumi\BDA_Project\MOOC_prediction\Model\..\..\data\sample_submission.csv,C:\Users\ilumi\BDA_Project\MOOC_prediction\Model\..\..\data\results,,,,4:32:4,1.0:2.0:0.1,1.0,0.1,500:1000:100,6:10:1,0.01:0.1:0.01,"Logloss,CrossEntropy",0.4:0.6:0.01,1.0:3.0:1.0,"SymmetricTree,Depthwise","Bayesian,Bernoulli",10:50:20,2,42,False
1,0.7098976109215017,0.35384615384615387,0.7074829931972789,0.7123287671232876,0.7074829931972789,0.6,20,C:\Users\ilumi\BDA_Project\MOOC_prediction\Model\..\..\data\train.csv,C:\Users\ilumi\BDA_Project\MOOC_prediction\Model\..\..\data\test.csv,C:\Users\ilumi\BDA_Project\MOOC_prediction\Model\..\..\data\sample_submission.csv,C:\Users\ilumi\BDA_Project\MOOC_prediction\Model\..\..\data\results,,,,4:32:4,1.0:2.0:0.1,1.0,0.1,500:1000:100,6:10:1,0.01:0.1:0.01,"Logloss,CrossEntropy",0.4:0.6:0.01,1.0:3.0:1.0,"SymmetricTree,Depthwise","Bayesian,Bernoulli",10:50:20,2,42,False
