TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,weight_0,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1
0,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.42,51,800,7,0.04,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
1,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.56,67,600,9,0.08,3.0,Logloss,Depthwise,Bayesian,30,0.7592592592592593,0.6949152542372882,0.8367346938775511,0.16923076923076924,0.8367346938775511
2,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.41,107,600,6,0.01,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
3,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.0,0.6,123,900,6,0.02,2.0,Logloss,Depthwise,Bernoulli,30,0.7727272727272727,0.7391304347826086,0.8095238095238095,0.35384615384615387,0.8095238095238095
4,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.46,59,900,6,0.03,3.0,CrossEntropy,Depthwise,Bernoulli,50,0.793002915451895,0.6938775510204082,0.9251700680272109,0.07692307692307693,0.9251700680272109
5,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.44,23,1000,9,0.05,2.0,CrossEntropy,Depthwise,Bayesian,30,0.7906976744186046,0.6903553299492385,0.9251700680272109,0.06153846153846154,0.9251700680272109
6,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.54,51,1000,10,0.05,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.7678018575851393,0.7045454545454546,0.8435374149659864,0.2,0.8435374149659864
7,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.3,0.58,-1,700,7,0.01,2.0,Logloss,SymmetricTree,Bayesian,50,0.3842364532019704,0.6964285714285714,0.2653061224489796,0.7384615384615385,0.2653061224489796
8,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.6,59,800,7,0.06,3.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.18072289156626506,0.7894736842105263,0.10204081632653061,0.9384615384615385,0.10204081632653061
9,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.46,31,800,6,0.07,2.0,CrossEntropy,Depthwise,Bernoulli,50,0.788235294117647,0.694300518134715,0.9115646258503401,0.09230769230769231,0.9115646258503401
