TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,weight_0,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1
10,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.42,83,500,8,0.04,1.0,Logloss,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
11,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.41,99,600,7,0.1,1.0,Logloss,SymmetricTree,Bernoulli,50,0.8235294117647058,0.7,1.0,0.03076923076923077,1.0
12,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.47,35,800,7,0.1,1.0,Logloss,SymmetricTree,Bernoulli,50,0.8057142857142857,0.6945812807881774,0.9591836734693877,0.046153846153846156,0.9591836734693877
13,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.8,0.42,99,600,7,0.04,1.0,Logloss,SymmetricTree,Bernoulli,50,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
14,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.6,0.51,7,700,7,0.09,1.0,Logloss,SymmetricTree,Bernoulli,50,0.6236559139784946,0.6590909090909091,0.5918367346938775,0.3076923076923077,0.5918367346938775
15,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.7,0.41,51,500,10,0.1,2.0,Logloss,SymmetricTree,Bernoulli,10,0.8022922636103151,0.693069306930693,0.9523809523809523,0.046153846153846156,0.9523809523809523
16,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.55,55,800,8,0.04,1.0,Logloss,SymmetricTree,Bernoulli,50,0.788235294117647,0.694300518134715,0.9115646258503401,0.09230769230769231,0.9115646258503401
17,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.9,0.49,127,600,7,0.1,1.0,Logloss,SymmetricTree,Bernoulli,50,0.7987987987987988,0.7150537634408602,0.9047619047619048,0.18461538461538463,0.9047619047619048
18,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.1,0.5,95,600,7,0.08,2.0,Logloss,SymmetricTree,Bayesian,10,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646
19,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,2.0,0.59,99,800,7,0.02,3.0,Logloss,SymmetricTree,Bernoulli,30,0.4215686274509804,0.7543859649122807,0.2925170068027211,0.7846153846153846,0.2925170068027211
20,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.4,119,700,10,0.09,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
21,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.41,107,600,6,0.01,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
22,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.45,39,600,6,0.01,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
23,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.57,107,600,8,0.07,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.7800586510263929,0.6855670103092784,0.9047619047619048,0.06153846153846154,0.9047619047619048
24,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.43,3,600,9,0.06,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
25,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.5,0.52,79,500,6,0.03,1.0,Logloss,SymmetricTree,Bernoulli,50,0.7741935483870968,0.6804123711340206,0.8979591836734694,0.046153846153846156,0.8979591836734694
26,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.48,111,900,7,0.1,1.0,CrossEntropy,Depthwise,Bayesian,50,0.8,0.696969696969697,0.9387755102040817,0.07692307692307693,0.9387755102040817
27,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.53,47,1000,7,0.01,1.0,Logloss,SymmetricTree,Bernoulli,50,0.0,0.0,0.0,1.0,0.0
28,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.41,27,800,6,0.04,3.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
29,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.0,0.56,91,600,9,0.08,2.0,Logloss,Depthwise,Bayesian,30,0.7857142857142857,0.6984126984126984,0.8979591836734694,0.12307692307692308,0.8979591836734694
30,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.9,0.41,75,600,8,0.04,3.0,Logloss,SymmetricTree,Bernoulli,30,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646
31,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.42,83,500,8,0.04,1.0,Logloss,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
32,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.42,71,500,8,0.04,1.0,Logloss,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
33,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.42,115,500,8,0.02,1.0,Logloss,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
34,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,2.0,0.42,15,900,6,0.04,1.0,Logloss,Depthwise,Bernoulli,10,0.791907514450867,0.6884422110552764,0.9319727891156463,0.046153846153846156,0.9319727891156463
35,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.7,0.44,19,500,9,0.03,2.0,Logloss,SymmetricTree,Bernoulli,30,0.7784431137724551,0.6951871657754011,0.8843537414965986,0.12307692307692308,0.8843537414965986
36,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.54,103,1000,10,0.05,1.0,CrossEntropy,Depthwise,Bayesian,50,0.7928994082840237,0.7015706806282722,0.9115646258503401,0.12307692307692308,0.9115646258503401
37,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.5,0.41,11,900,8,0.01,2.0,Logloss,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
38,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.52,87,800,7,0.1,3.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.7942028985507247,0.6919191919191919,0.9319727891156463,0.06153846153846154,0.9319727891156463
39,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.3,0.58,67,700,6,0.06,2.0,Logloss,Depthwise,Bayesian,50,0.7654320987654321,0.7005649717514124,0.8435374149659864,0.18461538461538463,0.8435374149659864
40,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.6,43,600,7,0.07,1.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.6319702602230484,0.6967213114754098,0.5782312925170068,0.4307692307692308,0.5782312925170068
41,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.4,119,700,10,0.09,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
42,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.4,119,700,10,0.09,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646
43,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.4,83,700,10,0.09,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
44,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.1,0.47,51,700,10,0.09,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8135593220338984,0.6956521739130435,0.9795918367346939,0.03076923076923077,0.9795918367346939
45,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.46,123,800,10,0.05,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646
46,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.8,0.51,23,1000,7,0.04,2.0,Logloss,SymmetricTree,Bernoulli,50,0.7254901960784313,0.6981132075471698,0.7551020408163265,0.26153846153846155,0.7551020408163265
47,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.55,63,500,7,0.1,1.0,Logloss,SymmetricTree,Bernoulli,30,0.07692307692307693,0.6666666666666666,0.04081632653061224,0.9538461538461539,0.04081632653061224
48,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.49,-1,800,6,0.01,3.0,Logloss,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
49,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.59,31,600,8,0.08,2.0,CrossEntropy,SymmetricTree,Bayesian,50,0.29473684210526313,0.6511627906976745,0.19047619047619047,0.7692307692307693,0.19047619047619047
50,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.6,0.5,99,700,9,0.02,1.0,Logloss,Depthwise,Bernoulli,10,0.76875,0.7109826589595376,0.8367346938775511,0.23076923076923078,0.8367346938775511
51,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.41,35,600,6,0.01,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
52,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.41,59,600,6,0.01,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
53,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.57,107,600,6,0.01,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.7109634551495017,0.6948051948051948,0.7278911564625851,0.27692307692307694,0.7278911564625851
54,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.45,107,600,6,0.01,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
55,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.43,107,600,7,0.1,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8202247191011236,0.6985645933014354,0.9931972789115646,0.03076923076923077,0.9931972789115646
56,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.43,7,800,7,0.1,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
57,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.43,51,600,7,0.1,1.0,CrossEntropy,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
58,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.0,0.48,95,500,7,0.1,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8192090395480226,0.7004830917874396,0.9863945578231292,0.046153846153846156,0.9863945578231292
59,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.0,0.53,55,500,7,0.1,1.0,Logloss,SymmetricTree,Bernoulli,50,0.7790697674418605,0.6802030456852792,0.9115646258503401,0.03076923076923077,0.9115646258503401
60,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.56,127,500,7,0.1,2.0,CrossEntropy,SymmetricTree,Bayesian,30,0.7616099071207431,0.6988636363636364,0.8367346938775511,0.18461538461538463,0.8367346938775511
61,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.0,0.48,99,500,7,0.1,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646
62,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.0,0.48,107,500,7,0.04,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8179271708683473,0.6952380952380952,0.9931972789115646,0.015384615384615385,0.9931972789115646
63,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.42,83,600,7,0.1,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8123249299719888,0.6904761904761905,0.9863945578231292,0.0,0.9863945578231292
64,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.3,0.43,95,1000,7,0.03,2.0,Logloss,SymmetricTree,Bernoulli,50,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
65,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.2,0.48,95,900,7,0.07,1.0,Logloss,SymmetricTree,Bernoulli,10,0.8156424581005587,0.6919431279620853,0.9931972789115646,0.0,0.9931972789115646
66,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.6,0.44,39,500,8,0.06,3.0,Logloss,SymmetricTree,Bernoulli,50,0.7942028985507247,0.6919191919191919,0.9319727891156463,0.06153846153846154,0.9319727891156463
67,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.7,0.54,119,800,10,0.04,1.0,Logloss,Depthwise,Bernoulli,50,0.7540983606557377,0.7278481012658228,0.782312925170068,0.3384615384615385,0.782312925170068
68,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.8,0.42,3,600,7,0.09,2.0,Logloss,SymmetricTree,Bernoulli,10,0.8189415041782729,0.6933962264150944,1.0,0.0,1.0
